Original Size;After White Spaces;After Numbers;After URLs;After Punctuation;After Javascript;After HTML
7343;5261;5247;5142;5047;5047;1256
49056;48395;48378;48378;48313;48313;48109
50977;50154;50147;49665;49536;49536;46321
3258;3186;3157;3061;3021;3021;2945
31439;30662;30448;30448;29950;29950;29900
896;832;810;739;726;726;676
890;828;806;806;790;790;740
820;789;758;671;656;656;584
874;814;793;793;774;774;724
1413;1331;1311;1311;1272;1272;1222
1997;1907;1883;1883;1688;1688;1591
4133;3956;3919;3919;3859;3859;3809
4624;4411;4309;4242;4080;4080;4003
926;879;864;824;802;802;733
1004;917;896;896;859;859;809
1001;914;893;893;856;856;806
7661;7472;7418;7418;7212;7212;7162
1596;1510;1482;1482;1446;1446;1396
1006;927;906;906;869;869;819
1596;1510;1482;1482;1446;1446;1396
1311;1249;1233;1233;1208;1208;1158
4059;3909;3879;3879;3822;3822;3772
4075;3923;3893;3893;3836;3836;3786
553;535;520;478;454;454;342
2014;1929;1902;1866;1837;1837;1787
7825;6589;6511;6511;5900;5900;5850
1617;1401;1358;1358;1259;1259;1209
1016;978;963;929;910;910;860
6755;4523;4491;4491;4424;4424;4374
602;571;556;533;513;513;463
1016;978;963;929;910;910;860
1513;1451;1435;1354;1330;1330;1280
837;755;736;719;704;704;654
840;758;739;722;707;707;657
339;318;303;303;292;292;242
18432;17517;17226;17169;16568;16568;16495
18432;17517;17226;17169;16568;16568;16495
2224;2119;2103;2103;2071;2071;2021
1636;1574;1547;1519;1494;1494;1444
563;544;529;529;501;501;408
1734;1673;1657;1450;1374;1374;1271
4129;3948;3911;3911;3854;3854;3804
1345;1264;1237;1237;1218;1218;1168
3064;2831;2791;2791;2498;2498;2429
4138;3956;3921;3921;3864;3864;3814
765;616;593;453;439;439;359
14731;14260;14028;14028;13676;13676;13626
31431;30655;30429;30429;29932;29932;29882
14942;14584;14333;14333;13780;13780;13730
1929;1074;1049;1049;1023;1023;973
16512;15010;14784;14784;14393;14393;14343
7584;5414;5320;5320;5242;5242;5148
796;718;705;705;676;676;626
4133;3954;3917;3917;3860;3860;3810
1402;1341;1325;1160;1135;1135;1060
801;723;710;710;682;682;632
2582;1744;1707;1707;1669;1669;1619
12774;12184;11965;11965;11447;11447;11397
4071;3984;3962;3914;3873;3873;796
3202;2307;2263;2263;2163;2163;2081
10086;9762;9654;9654;9491;9491;9441
31461;21231;21186;21159;21020;21020;8104
455;401;372;372;360;360;310
5799;4728;4661;4518;3942;3942;3892
1161;1001;980;980;964;964;914
1244;1190;1153;1083;1046;1046;960
1251;1197;1160;1090;1052;1052;966
3767;3689;3666;3543;3509;3509;829
2610;1809;1764;1764;1740;1740;1690
10302;10075;10049;10049;9931;9931;9881
906;844;833;710;697;697;647
15597;14814;14588;14567;14143;14143;14093
4488;4332;4299;4233;4194;4194;4144
7931;7452;7436;6734;6602;6602;3913
1297;1244;1226;1226;1203;1203;1153
1604;1541;1521;1521;1493;1493;1422
20008;18998;18968;18868;18665;18665;4723
1286;1195;1179;1140;999;999;929
10107;9783;9675;9675;9398;9398;9348
4922;4759;4699;4699;4639;4639;4589
4132;4008;3985;3985;3922;3922;3872
903;589;563;563;542;542;492
1369;1147;1124;1124;1097;1097;1047
3673;3586;3565;3565;3530;3530;3460
6212;5270;5241;5075;4965;4965;4911
3465;2875;2856;2856;2813;2813;2734
8934;8525;8441;8441;8166;8166;8116
3600;3528;3505;3381;3346;3346;823
3862;3229;3206;3123;2984;2984;2932
3866;3229;3206;3123;2984;2984;2932
3845;3451;3418;3418;3193;3193;3143
4915;4752;4692;4692;4635;4635;4585
4916;4753;4693;4693;4635;4635;4585
5039;4874;4804;4804;4736;4736;4686
4911;4748;4688;4688;4631;4631;4581
675;608;587;587;573;573;523
696;608;580;580;566;566;516
879;804;771;771;755;755;705
1082;1025;1011;916;896;896;846
1085;1028;1013;918;900;900;850
1085;1028;1013;918;900;900;850
14943;14663;14442;14442;14127;14127;14039
1696;1594;1570;1570;1544;1544;1457
1418;1360;1341;1341;1268;1268;1197
2168;2078;2052;2000;1960;1960;1870
1226;1176;1157;1157;1133;1133;1062
2893;2639;2617;2576;2326;2326;2276
2829;2387;2368;2368;2332;2332;2240
879;799;768;768;752;752;701
14742;14271;14039;14039;13681;13681;13630
1336;1253;1226;1226;1207;1207;1156
16614;15897;15667;15620;14760;14760;14760
16599;15888;15658;15611;14751;14751;14751
7159;6179;6110;5475;5331;5331;2120
2908;2794;2738;2330;2060;2060;2020
5775;5612;5546;5139;5023;5023;2205
9210;8880;8812;8790;8638;8638;8550
3990;3811;3755;3636;3467;3467;1316
4599;4450;4354;3688;3558;3558;1566
4726;4220;4134;4002;3877;3877;2132
2654;2556;2470;2259;2143;2143;1277
1849;1781;1766;1766;1733;1733;1718
12972;12622;12596;12249;12194;12194;12167
1592;1492;1450;1429;1341;1341;1125
2718;2617;2581;2460;2375;2375;1341
2751;2657;2621;2502;2422;2422;1427
2590;2470;2414;1925;1815;1815;1295
4543;4454;4444;4444;4395;4395;4275
7313;7143;7122;7122;7080;7080;7048
5993;5876;5860;5826;5789;5789;5709
9580;9317;9307;9207;9097;9097;9015
9218;9023;9010;8889;8849;8849;8753
11897;11605;11592;11439;11399;11399;11291
17757;17456;17424;17424;17339;17339;17257
8340;8149;8139;8139;8100;8100;8032
8997;8498;8475;8337;8241;8241;8159
23428;20498;20442;20279;20133;20133;9411
7197;7047;7037;6968;6930;6930;6832
10079;9868;9858;9699;9663;9663;9585
7755;7607;7597;7492;7452;7452;7360
17196;15393;15349;15180;15083;15083;6283
7946;7787;7765;7683;7639;7639;7555
7552;7392;7356;7356;7307;7307;7211
7759;7547;7527;7442;7339;7339;7259
15480;12295;12282;12110;12014;12014;3432
6904;6754;6711;6525;6345;6345;6275
9832;9539;9520;9448;9393;9393;9313
9511;9290;9273;9250;9202;9202;9120
8722;8524;8503;8281;8230;8230;8152
7808;7651;7641;7376;7328;7328;7242
7801;7649;7632;7567;7528;7528;7454
7937;7765;7722;7722;7681;7681;7585
7336;7177;7138;7138;7092;7092;7010
9427;9230;9207;9086;9044;9044;8950
5799;5619;5609;5509;5328;5328;5254
42115;40204;39768;39768;38626;38626;30160
14963;14629;14611;14477;14409;14409;14329
9621;9439;9429;9239;9130;9130;9034
15473;12289;12276;12105;12009;12009;3427
8868;8694;8684;8553;8500;8500;8364
5877;5755;5745;5603;5562;5562;5480
9884;9617;9607;9507;9397;9397;9315
11067;10644;10613;10513;10250;10250;10188
9006;8833;8816;8757;8715;8715;8621
7498;7324;7314;7222;7022;7022;6908
6997;6846;6824;6728;6649;6649;6555
14951;14617;14599;14465;14397;14397;14317
7967;7765;7752;7604;7539;7539;7469
7742;7579;7562;7435;7401;7401;7323
8686;8515;8503;8409;8372;8372;8300
10222;10004;9971;9806;9702;9702;9612
9377;9170;9147;8982;8878;8878;8788
10044;9845;9806;9663;9608;9608;9548
7837;7636;7623;7475;7410;7410;7340
15022;14712;14658;14571;14445;14445;13965
9486;9150;9138;9138;9039;9039;8914
11709;11353;11322;11214;11176;11176;11102
32135;29280;29252;29142;29068;29068;18418
23750;20816;20758;20588;20416;20416;9482
15852;15562;15547;15547;15488;15488;15406
16132;15838;15823;15823;15765;15765;15683
30965;30081;29979;29979;29751;29751;27877
9803;9540;9528;9450;9399;9399;9321
6611;6472;6460;6380;6336;6336;6244
21487;21033;20905;20460;20296;20296;19472
7787;7631;7615;7547;7508;7508;7420
23633;20699;20641;20471;20313;20313;9482
11111;10869;10854;9440;9387;9387;9305
7786;7597;7575;7464;7283;7283;7171
7861;7670;7661;7437;7367;7367;7275
9650;9412;9390;9334;9269;9269;9191
9404;9146;9134;9056;9005;9005;8925
11196;10971;10949;10891;10853;10853;10787
17716;14851;14822;13187;12814;11912;6151
15823;15366;15093;14854;14447;14447;12881
8805;8635;8619;8560;8519;8519;8435
5438;5323;5314;5217;5142;5142;5054
13742;13429;13413;13262;13201;13201;13127
7148;6953;6944;6902;6859;6859;6777
7303;7120;7111;6887;6818;6818;6724
7229;7046;7037;6813;6744;6744;6650
12279;11767;11713;11713;11129;11129;11063
9576;9340;9313;9205;9162;9162;9078
7451;7300;7284;7219;7182;7182;7096
7412;7262;7253;6921;6854;6854;6770
8183;7996;7973;7889;7830;7830;7734
5724;5609;5600;5560;5527;5527;5431
7412;7268;7259;7158;7120;7120;7042
7442;7294;7275;7237;7202;7202;7124
9808;9652;9631;9631;9571;9571;9489
21370;20917;20787;20411;20254;20254;19446
21518;21061;20932;20556;20392;20392;19572
36369;35058;34650;34650;33962;33962;28809
10611;10414;10405;10314;10277;10277;10187
7252;7071;7061;6900;6829;6829;6735
7186;7005;6995;6834;6766;6766;6672
7470;7317;7295;7295;7255;7255;7159
6294;6165;6142;6032;5986;5986;5914
6083;5956;5940;5830;5785;5785;5713
7121;6985;6966;6847;6809;6809;6735
6862;6716;6703;6677;6633;6633;6557
8298;8081;8066;7942;7899;7899;7825
6153;6016;6000;5911;5827;5827;5737
7180;7010;6982;6939;6894;6894;6828
7228;7047;7037;6876;6806;6806;6712
7168;6988;6978;6817;6749;6749;6655
9051;8847;8830;8605;8563;8563;8481
13690;13340;13291;12859;12809;12809;12729
8521;8204;8188;8122;8092;8092;8026
5521;5401;5392;5359;5320;5320;5320
11061;10801;10781;10747;10690;10690;10604
12254;12018;12009;11592;11553;11553;11471
5573;5249;5237;5199;5167;5167;5101
6651;6502;6493;6394;6353;6353;6261
12381;12114;12082;12082;12041;12041;11963
9253;9062;9050;8456;8420;8420;8320
13666;13316;13267;12835;12785;12785;12705
9183;8986;8973;8850;8808;8808;8702
12117;11860;11827;11827;11786;11786;11708
7349;7184;7174;6609;6575;6575;6485
9864;9627;9606;9572;9519;9519;9435
21747;21038;20822;20822;20289;20289;17906
10960;10669;10644;10532;10498;10498;10448
8189;8027;8004;7934;7893;7893;7811
11978;11686;11673;11505;11457;11457;11375
5478;5355;5341;5236;5201;5201;5111
7549;7378;7355;7300;7245;7245;7171
37527;36564;36465;36465;35865;35865;32439
7470;7327;7313;7214;7177;7177;7077
7792;7644;7630;7531;7496;7496;7422
6491;6308;6285;6023;5877;5877;5791
11537;11222;11209;11209;11162;11162;11084
8233;8060;8007;8007;7966;7966;7870
7665;7514;7497;7432;7393;7393;7305
7319;7176;7166;7065;7023;7023;6949
7365;7204;7155;7155;7115;7115;7033
7601;7457;7430;7365;7322;7322;7248
8247;8076;8066;7973;7936;7936;7840
7371;7154;7144;7102;7058;7058;6976
7490;7342;7323;7162;7108;7108;7056
13633;13284;13234;12802;12752;12752;12672
17936;17466;17292;17265;17224;17224;17224
7995;7828;7818;7818;7765;7765;7693
8688;8453;8443;8355;8244;8244;8162
44107;42160;41967;41871;40348;40348;32500
30849;29970;29867;29867;29638;29638;27826
7606;7450;7433;7352;7316;7316;7220
7285;7118;7096;7041;6985;6985;6903
6909;6767;6754;6672;6637;6637;6541
7913;7744;7728;7688;7652;7652;7586
21105;20697;20675;19963;19839;19839;19775
30683;30179;30146;29800;29742;29742;29661
8336;8108;8098;8026;7989;7989;7891
7570;7417;7400;7341;7304;7304;7226
9416;9220;9173;9070;9023;9023;8939
9582;9407;9394;9288;9234;9234;9148
21691;21242;21086;20710;20553;20553;19721
21848;21396;21240;20864;20699;20699;19855
6631;6484;6469;6332;6244;6244;6154
19487;19085;19022;19022;17726;17726;17658
9183;9007;8997;8807;8696;8696;8600
11176;10864;10851;10781;10740;10740;10658
7663;7499;7474;7399;7354;7354;7272
7447;7291;7271;7186;7157;7157;7091
6964;6815;6802;6687;6653;6653;6575
9055;8864;8827;8724;8681;8681;8607
7448;7264;7254;7093;7025;7025;6931
7552;7367;7357;7196;7127;7127;7033
7371;7228;7218;7105;7067;7067;6965
7683;7536;7526;7423;7382;7382;7290
6366;6237;6224;6196;6156;6156;6060
16142;15754;15699;15673;15615;15615;15529
7702;7553;7543;7428;7390;7390;7294
7024;6865;6848;6848;6810;6810;6721
7583;7416;7399;7337;7295;7295;7205
